Washington Redskins,FedExField,91704,Landover,Maryland
New York Jets,Giants Stadium,80242,East Rutherford,New Jersey
New York Giants,Giants Stadium,80242,East Rutherford,New Jersey
Dallas Cowboys,Cowboys Stadium,80000,Arlington,Texas
Kansas City Chiefs,Arrowhead Stadium,79451,Kansas City,Missouri
Denver Broncos,INVESCO Field at Mile High,76125,Denver,Colorado
Miami Dolphins,LandShark Stadium,76101,Miami Gardens,Florida
Buffalo Bills,Ralph Wilson Stadium,73967,Orchard Park,New York
Carolina Panthers,Bank of America Stadium,73298,Charlotte,North Carolina
Cleveland Browns,Cleveland Browns Stadium,73200,Cleveland,Ohio
Green Bay Packers,Lambeau Field,72928,Green Bay,Wisconsin
San Diego Chargers,Qualcomm Stadium,71294,San Diego,California
Atlanta Falcons,Georgia Dome,71228,Atlanta,Georgia
San Francisco 49ers,Candlestick Park,70207,San Francisco,California
Baltimore Ravens,M&T Bank Stadium,71008,Baltimore,Maryland
Houston Texans,Reliant Stadium,71500,Houston,Texas
New Orleans Saints,Louisiana Superdome,69703,New Orleans,Louisiana
Tennessee Titans,LP Field,68798,Nashville,Tennessee
New England Patriots,Gillette Stadium,68756,Foxborough,Massachusetts
Philadelphia Eagles,Lincoln Financial Field,68532,Philadelphia,Pennsylvania
Jacksonville Jaguars,Jacksonville Municipal Stadium,67164,Jacksonville,Florida
Seattle Seahawks,Qwest Field,67000,Seattle,Washington
St. Louis Rams,Edward Jones Dome,66000,St. Louis,Missouri
Tampa Bay Buccaneers,Raymond James Stadium,65857,Tampa,Florida
Cincinnati Bengals,Paul Brown Stadium,65535,Cincinnati,Ohio
Pittsburgh Steelers,Heinz Field,65050,Pittsburgh,Pennsylvania
Detroit Lions,Ford Field,65000,Detroit,Michigan
Minnesota Vikings,Hubert H. Humphrey Metrodome,64111,Minneapolis,Minnesota
Arizona Cardinals,University of Phoenix Stadium,63400,Glendale,Arizona
Oakland Raiders,Oakland-Alameda County Coliseum,63026,Oakland,California
Indianapolis Colts,Lucas Oil Stadium,63000,Indianapolis,Indiana
Chicago Bears,Soldier Field,61500,Chicago,Illinois
